Division (Group),Team Name,Discord of 1st Contact,Discord of 2nd Contact,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,School,Updated as of:,10/2/2023
2.4,Coastal Squid Surf,chaidragon ,peachypuff,ZZ~Chai#6700,G↓ Pεαchγ #3163,Koko#1370,Magyk ♪#5287,CSS~IDEA!#1661,,,,Coastal Carolina University,,
2.4,LG Nightfall,galaxyroyaltea,,galaxy#1325,tea#3315,salty#8801,Modo Serio#3245,Salamiman#2127,,,,University of Texas at Austin,,
2.4,The SqUWWids,hie_xoxo,,UWW Ellie!#1035,UWW FLUBBY#1529,UWW W☆C#6013,UWW KVN#1511,UWW Quag#2355,UWW BINCH#1761,UWW Roomba#2697,,University of Wisconsin Whitewater,,
2.4,Chum Buckets,jx104,,JX-104#3719,kenz#1916,Yoshi 64#2232,Bread#8788,samuel#2072,,,,Rowan University,,
2.4,MSU Deep C Divers,spellingisoptional,,[LR!]Sp3ll#7331,Cornfixin#1699,Gaminguy#8924,Yoshiber#3054,,,,,Michigan State University,,
3.1,Chark Attack,beard48,,Beard48#5201,Jp#4525,Beanexus#1031,spl0rped#4076,Masq#1220,,,,University of North Carolina Greensboro,,
3.1,Life Could Bradley Dream,ovengoats,shnx_,ovengoats#4921,Shnx_#2214,Liz#2245,Jertop#1836,Gab#2145,Splatbox#2464,,,Bradley University,,
3.1,[DPU] Ink Stew,Airic03,,Airic#3082, Allyn#1670,shiu#3052,wyrmush#3197,U Bonkd Up#2741,,,,DePaul University,,
3.1,GMU Patriots,deuceofdiamonds,,「Deuce◇」#6490,「Nex」#1621,「Euphaa」#5798,「TX7DRW」#1783,「slug」#9952,,,,George Mason Univserity,,
3.1,PSU Lone Rock Sirens,Nikki_9018,,S♪Nikki#7243,S♪Obscure#3336,S♪Hypnova#1336,→△Corvidae#3351,S♪SolTemp#6546,,,,Penn State University,,
3.1,A-State Black,soldieremutc,,SoldierEmu#2648,*M♾️nView*#3030,Litten*#4981,Chicadood#6810,,,,,Arkansas,,
3.2,Tax Collectors,filipinotaxcollector,,Taxぜいきん#2638,Blue Squid#2375,Derpycows#5067,RINGROSE#1641,Octio#5430,Liquid#3265,orang#1310,Superstar#2592,University of Arizona,,
3.2,Comet Combo Meal,ninety.zero,,ninety⁀*#2236,lil David#2780,fish&chips#2458,Jelly#2127,,,,,The University of Texas at Dallas,,
3.2,Titans of Alterna (Orange),lagoon_,,Lagoon#3554,Ampri#1097,KuroOkami☆#1988,Pinec∅ne#1756,Moca♪#1928,,,,"California State University, Fullerton",,
3.2,Redbeak Splatoon,Aidiin,,★Aidiiη™★#1403,TLP#3771,saltmothm#1701, y it#3193,Glue#3347,,,,Illinois State University,,
3.2,CSULB Black,delivadone,,Deliva#2529,Dpsquirtle#1325,BigMan#3275,cloud#1441,Hydro_VO#2433,,,,California State University Long Beach,,
3.2,Creamed Corn,drywhall,,drywhall#2425,every1ne#2812,HChips#8951,astericus#4505,OI_Vermi13#9983,*SPENCE*#6651,Leftwix#6783,Smoothie#4033,University of Nebraska-Lincoln,,
3.3,Golden Barracudas,choff_,,Lucky#2919,C-#2667,:3c#3359,XV#1980,Androow#2035,,,,Kutztown University,,
3.3,Griffink,spaceseals,,spaceseals#1335,hegemony#1807,Titanium#6641,Cavaroc#2984,piccle#3092,Johnnyboy#2848,LunaFresa#1164,,William & Mary,,
3.3,Tiger Shark,retrogade,,Retrogade#2502,Neon#1405,Neutral OP#2346,KibryHouse#7676,Hot Pocket#1289,ROCKTOBOT#1721,lingling#1117,,Rochester Institute of Technology,,
3.3,Death Roll,nitr0_gaming,,4σ Nitro#9655,4σAmbrosia#2967,4σ Rudra#2585,4σ Astrea#1166,4σ B3#2260,,,,University of Florida,,
3.3,Siberian Squids,bmgbeanbean,,BMGBean#2655,McPerson#1912,KILOBYTE#2077,TheMilkKid#3073,D-Man#2225,Cordtwo#3288,,,UConn (University of Connecticut),,
3.3,Farmingdale State Rams,brander1423,,Royboi#2075,FMG★Ratboy#3989,ze_7136#7977,MSCard#7679,Myst#1737,Jasmine#2167,,,Farmingdale State College,,
3.4,Kraken Cove,myguyrdb,,MyGuyRDB#2900,Seacrisps#2038,MashJ#1721,Kellogs#9433,weeeeeeeee#6553,,,,University of Massachusetts Dartmouth,,
3.4,Bobble Hat Gang,splatcatz,drunkdoctor ,Splat Cat™#1812,Doc#2265,Stormy#3240,spcer#1016,J'ack#8654,,,,West Virginia University,,
3.4,WPI Grizzco Workers Union,comrade_krona,rafster123,wπ Krona#7574,Ms. L <3#1301,⊃⊂ Mario#2757,wπ Mortuus#1622,Phantom#3069,,,,Worcester Polytechnic Institute,,
3.4,Stevens Inxecutioners,bribgot,,Briginator#1987,Ee#1609,ChrisMS39#3227,Twisted#2765,⊂Goatles⊃#1552,,,,Stevens Institute of Technology,,
3.4,Bumblebee Gobies,gummie1909,,Gummie#1813,Clioni#9306,Bagel#1138,LemonKero#2196,Teeths#2749,,,,University of North Carolina at Greensboro,,
3.4,Volatile Radiance,sychie_star,,「♪」ψchiε!☆#3004,キャプテン · N#1443,thatkidkim#1383,Tooooaaaad#3174,AMG◎Petr#9940,SAINT#2079,,,Hofstra University,,
4.1,Calamari Comets,spanishtzar,momodabro,Tzar#3856,Momo⌢*#6384,Saffy#1132,Granagnite#2997,,,,,University of Texas at Dallas,,
4.1,Seminole Cephalopods Gold,Nuc04,,FSU Citrue#9995,Funny#6216,Stefi#1677,ribbon.exe#1243,Basher#8054,Nuc#1389,,,Florida State University,,
4.1,IVC Devil Rays,jewelsabre,,Sapphire#2278,Infernl#2478,★Neo★#2066,oh no#5630,Skull★#1651,,,,Irvine Valley College,,
4.1,Nautical,rellyfast,,fast#2239,[NAU] Wale#9324,Cheesy#1353,NAU Knight#7982,[NAU]★Tay★#2010,Hay Bale#5180,Spice <3 #3003,Crayos#1700,Northern Arizona University,,
4.1,Splatlanders,cyan627,, ⊂γαη#1321,WanaSplat™#1148,Jelly#3391,RedLight#1722,Stycky#1275,,,,New Jersey Institute of Technology,,
4.1,BASH,jomethedome,,※Warmunk※#2205,※ Niemo ※#2735,Lettuce#3134,RNGpanDUH#1381,※AshBill※#3065,,,,Purdue University,,
4.2,PSU Nittany LionFish,lianzi,,PSU Lianzi#2228,PSU BgMike#5241,PSU Sophie#3241,PSU Arctan#7887,PSU F=m*a#2875,,,,Penn State University,,
4.2,[DPU] Anarchy Rainbow,midknight_phantom,,Midknight #2081,kersplat #2012,annali★#2389,sosad2112#8458,spectra#7323,,,,DePaul University,,
4.2,VT Enter Salmon,novaden_,,Novaden™#2059,kale°⸪•*.#2886,©➞Rin!☆♪#4430,Shayminz#2853,[AφI] Pu^3#1410,Decoy_Octo#8081,,,Virginia Tech,,
4.2,UGA Black,candygoblen123,,Candy#2530,DeDeDeadly#2426,ash ♪#1019,Stingray#2059,,,,,University of Georgia,,
4.2,WPI Grizzco Union Busters,yoshterra,gribsyrup,wπ Justin#1955,Gribseraph#2654,wπ Point#1141,Wπ RKTFUEL#1654,Out#8634,Caleb#1368,Wπ|Kzgamer#8998,,Worcester Polytechnic Institute,,
4.2,MSU 5oap,luvvbiis,,°◯luvvbiis#3130,°◯Tem ◯ °#2363,°◯Guide◯°#1761,°◯verwrite#6869,°◯Cluk◯°#5568,≡nder»°◯ #1704,,,Michigan State University,,
4.3,Crimson Calimari,nindrag,,Nindrag#2809,⟹cbearWSU#7400,inari#2441,k o n#2020,⟹tumbleWSU#1347,RiceBowl20#2855,YlgrDaCrab#2352,Kosmo[WSU]#3381,Washington State University,,
4.3,UCSD Esports Navy,oceanopal,,ΞOceanOpal#9923,Z-Bean#1723,ψ buca #2695,saucε✰#1740,Clefable★#3337,,,,"University of California, San Deigo",,
